"","instituicao","depto","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","servico","tempodeservico","religiao","religiao.outras","contato.tema","lida.com","onde.lida.com","lida.com.outros","ps001","ps002","ps003","ps004","ps005","ps006","ps007","ps008","ps009","ps010","ps011","ps012","ps013","ps014","ps015","ps016","ps017","ps018","ps019","ps020","ps021","ps022","ps023","ps024","ps025","ps026","ps027","ps028","ps029","ps030","ps031","ps032","ps033","ps034","ps035","ps036","ps037","ps038","ps039","ps040","ps041","ps042"
"124","",NA,"Em progresso","11 maio 2014  10:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","",NA,"Finalizadas","11 maio 2014  10:33","11 maio 2014  10:44","11 minutos 22 segundos","Sim","25 anos","Feminino","Pós-graduação","Solteiro (a)",NA,"Psicologia","Psicóloga","RH de empresa privada","4","Católica",NA,"Sim","Sim","Família","Amigos também","2","2","3","1","2","2","2","3","1","1","2","1","1","4","4","4","1","3","1","1","5","1","4","5","3","1","2","2","2","2","4","4","2","5","5","4","4","3","3","1","1","4"
"126","",NA,"Em progresso","11 maio 2014  10:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","",NA,"Finalizadas","11 maio 2014  13:40","11 maio 2014  14:16","36 minutos 1 segundo","Sim","41","Masculino","Ensino Superior Completo","Casado (a)",NA,"Licenciatura Plena em Química EAD - UFJF.","AGENTE SÓCIO EDUCATIVO/MG E TUTOR EAD UFJF Curso prevenção do uso de drogas para EDUCADORES DE ESCOLAS PÚBLICAS.","SEGURANÇA PÚBLICA DO ESTADO DE MINAS GERAIS.","19 ANOS","Católica",NA,"Sim","Sim","Outros","Sou Agente Sócio Educativo do Estado de Minas Gerais. Trabalho com Crianças e Adolescentes que estão acautelados por crime análogo ao adulto. Maioria por tráfico, homicídio e outros.","3","4","4","4","4","4","3","2","2","3","3","2","2","4","4","3","3","4","3","3","3","4","2","4","3","3","2","2","2","2","4","3","4","4","4","3","4","3","3","2","2","3"
"128","",NA,"Finalizadas","11 maio 2014  15:39","11 maio 2014  16:02","22 minutos 32 segundos","Sim","43","Feminino","Pós-graduação","Casado (a)",NA,"Pedagogia","Professor","professor regente","7 anos","Evangélica",NA,"Não","Não",NA,NA,"2","4","4","2","2","2","2","2","1","2","2","1","2","1","5","2","2","3","2","2","2","2","1","4","3","2","2","2","1","2","4","2","3","3","2","3","2","3","3","2","2","4"
"129","",NA,"Finalizadas","11 maio 2014  16:34","11 maio 2014  16:49","15 minutos 14 segundos","Sim","38","Feminino","Pós-graduação","Casado (a)",NA,"Licenciatura Geografia - Especialização Geografia do Brasil","Professora","Professora regente","18","Evangélica",NA,"Sim","Sim","Família","família e escola","3","3","4","3","2","3","3","2","2","2","4","2","4","4","5","3","2","4","2","3","4","2","2","2","4","2","3","3","2","2","4","3","3","4","4","2","4","3","4","1","1","5"
"130","",NA,"Finalizadas","11 maio 2014  20:39","11 maio 2014  20:59","20 minutos 1 segundo","Sim","48","Feminino","Pós-graduação","Casado (a)","nao","Pedagogia - Mestrado em Midia e Conhecimento","Inspetora Escola SEE MG","Inspetora Escolar - Analista da Educação","23","Sem religião","nao","Sim","Sim","Família","escola","3","4","4","3","4","3","4","4","1","2","4","2","2","2","5","4","2","4","2","1","4","3","3","4","4","2","2","3","2","1","4","4","2","4","5","2","5","3","1","1","1","2"
"131","",NA,"Finalizadas","11 maio 2014  20:58","11 maio 2014  21:27","29 minutos 1 segundo","Sim","35","Feminino","Pós-graduação","Casado (a)",NA,"Pedagogia","Coordenadora Pedagógica e Professora","Coordenação e sala de aula","quinze anos na Educação","Católica",NA,"Sim","Sim","Família",NA,"2","3","2","2","2","4","2","2","2","4","4","2","2","1","5","2","2","4","2","4","5","4","2","4","4","2","1","2","2","1","4","4","2","4","4","4","2","3","2","2","2","2"
"132","",NA,"Em progresso","11 maio 2014  22:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","",NA,"Finalizadas","11 maio 2014  22:25","11 maio 2014  22:43","17 minutos 4 segundos","Sim","60","Feminino","Pós-graduação","Outros","união estável 30 anos",NA,"aposentada",NA,"28","Católica",NA,"Sim","Não",NA,NA,"2","5","4","1","2","1","2","1","2","2","2","1","1","4","5","2","2","4","2","4","3","3","2","4","2","2","1","4","2","2","4","4","2","3","4","4","4","5","2","2","1","2"
